Symbol,Name,Last Sale,Net Change,% Change,Market Cap,Country,IPO Year,Volume,Sector,Industry,currentPrice,adr_pct_20_days,volume_dollars_1day,price_growth_one_month,move_higher_3_months_percent,avg_volume_10_days,volume_cal,is_10_below_20_mv_10_days,is_higher_low_5_days
STRM,Streamline Health Solutions Inc. Common Stock,$0.491,0.031,6.739%,28885265.0,United States,,18925,Technology,EDP Services,0.596,13.89984621498279,350.3599956035614,1.2258064268034778,81.81818181818183,49090.0,74747.0,0.0,0.0
SOUN,SoundHound AI Inc Class A Common Stock,$8.65,1.72,24.82%,2363433895.0,United States,,169658269,Technology,EDP Services,8.33,18.79301216484852,189798.84182834625,1.2222222303984422,298.56460601898567,106217030.0,99204902.0,0.0,1.0
APEI,American Public Education Inc. Common Stock,$12.80,0.53,4.319%,224068416.0,United States,2007.0,121124,Real Estate,Other Consumer Services,12.76,8.65242756088036,42020.639739990234,1.2147783632617954,47.685181965798634,278270.0,107308.0,0.0,0.0
LLAP,Terran Orbital Corporation Common Stock,$1.21,0.01,0.833%,235298247.0,United States,2021.0,3553724,Industrials,Military/Government/Technical,1.14,7.357225102643161,17271.587789297104,1.21322536178451,31.185266116214237,3678990.0,3195082.0,0.0,0.0
WORX,SCWorx Corp. Common Stock,$1.76,-0.29,-14.146%,2131422.0,United States,2016.0,258939,Consumer Discretionary,Services-Misc. Amusement & Recreation,2.84,20.962933433862887,513.3599982261658,1.2105263267967952,60.45197428096593,9367680.0,82699933.0,0.0,0.0
SEZL,Sezzle Inc. Common Stock,$58.35,-0.54,-0.917%,328695586.0,United States,,42407,Finance,Diversified Financial Services,63.79,15.852168239379871,45129.061683654785,1.2104571377175968,275.23529950310206,51050.0,72838.0,0.0,1.0
KRYS,Krystal Biotech Inc. Common Stock,$179.35,0.40,0.224%,5074280680.0,United States,2017.0,464865,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),167.0,6.948474187225284,496527.8791809082,1.2099745339234478,47.86612040905551,512560.0,287003.0,0.0,0.0
ARMP,Armata Pharmaceuticals Inc. Common Stock,$3.45,-0.20,-5.479%,124705680.0,United States,,7918,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),3.78,9.65495407288197,1276.520037651062,1.2087227627201882,54.91802798135098,11470.0,23168.0,0.0,1.0
APRE,Aprea Therapeutics Inc. Common stock,$5.55,-0.61,-9.903%,20738535.0,United States,2019.0,26364,Health Care,Biotechnology: Pharmaceutical Preparations,6.74,10.857626401081987,1105.8000326156616,1.2074688722791718,71.93876632498203,137150.0,15769.0,0.0,1.0
DNTH,Dianthus Therapeutics Inc. Common Stock,$29.30,4.15,16.501%,434160427.0,United States,2018.0,324833,Health Care,Biotechnology: Pharmaceutical Preparations,26.44,7.548263543274869,51299.198806762695,1.2067696419714378,247.89474823468294,152630.0,209239.0,0.0,1.0
MINM,Minim Inc. Common Stock,$6.17,1.16,23.154%,17208253.0,United States,,4583499,Utilities,Telecommunications Equipment,6.56,21.19603190684074,2067.7800736427307,1.2050000429153442,216.90822001635757,1024070.0,260341.0,0.0,1.0
AEON,AEON Biopharma Inc. Class A Common Stock,$12.69,0.29,2.339%,471555324.0,United States,,123978,Health Care,Biotechnology: Pharmaceutical Preparations,14.4,12.209496481410254,1911.6000900268555,1.2035661751134508,156.68447906986665,161370.0,353574.0,0.0,1.0
CVNA,Carvana Co. Class A Common Stock,$79.67,3.39,4.444%,16085309344.0,United States,2017.0,3060218,Consumer Discretionary,Other Specialty Stores,78.88,8.490282449074371,4379011.011802673,1.2024670823566288,42.25427622741925,5448880.0,4611992.0,0.0,0.0
DNMR,Danimer Scientific Inc. Common Stock,$1.57,-0.09,-5.422%,160195369.0,United States,2020.0,492272,Industrials,Major Chemicals,1.33,14.175539401804983,10347.840411186218,1.2,31.683173809270325,1033560.0,948485.0,0.0,0.0
TNYA,Tenaya Therapeutics Inc. Common Stock,$5.41,-0.14,-2.523%,368480613.0,United States,2021.0,430108,Health Care, Medicinal Chemicals and Botanical Products ,4.53,9.994605209092011,180560.81128120422,1.19999992756904,79.76191444822277,812700.0,845919.0,0.0,0.0
SIGA,SIGA Technologies Inc. Common Stock,$6.45,1.13,21.241%,458540923.0,United States,,4969397,Health Care,Biotechnology: Pharmaceutical Preparations,8.34,5.474429656573454,17465.980456352234,1.199530483324804,47.61061967814927,1534550.0,1550685.0,0.0,1.0
PTIX,Protagenic Therapeutics Inc. Common Stock,$1.11,0.10,9.901%,4922997.0,United States,,10351,Health Care,Biotechnology: Pharmaceutical Preparations,1.295,12.8784189309874,32.76000094413757,1.197368470585578,52.35293185422191,14190.0,56751.0,0.0,1.0
AVTE,Aerovate Therapeutics Inc. Common Stock,$26.98,2.84,11.765%,746506571.0,United States,2021.0,104171,Health Care,Biotechnology: Pharmaceutical Preparations,25.72,10.510983871953595,13000.0,1.1947431465624256,37.90884632404821,129520.0,99156.0,0.0,1.0
LYRA,Lyra Therapeutics Inc. Common Stock,$6.41,0.22,3.554%,336929644.0,United States,2020.0,157471,Health Care,Medical/Dental Instruments,6.04,7.436653902665302,7380.0,1.193317406137907,35.42600695497995,269580.0,496852.0,0.0,0.0
KORE,KORE Group Holdings Inc. Common Stock,$0.72,-0.06,-7.692%,62431619.0,United States,,107591,Consumer Discretionary,Telecommunications Equipment,0.886,14.610574041596202,1346.3600397109985,1.193111932021088,47.6666570636965,77410.0,44158.0,1.0,1.0
EWTX,Edgewise Therapeutics Inc. Common Stock,$17.41,-0.31,-1.749%,1621055946.0,United States,2021.0,492526,Health Care,Biotechnology: Pharmaceutical Preparations,16.19,5.629067527185372,518530.30636024475,1.1870228807573717,90.24676966647847,1173350.0,700636.0,1.0,0.0
SSNT,SilverSun Technologies Inc. Common Stock,$14.42,0.35,2.488%,76650678.0,United States,,94229,Technology,EDP Services,13.28,9.006689408694225,22316.0,1.1844331947089954,30.32384965487564,80450.0,55448.0,1.0,0.0
BYON,Beyond Inc. Common Stock,$34.08,-0.36,-1.045%,1553181891.0,United States,,1182338,Consumer Discretionary,Catalog/Specialty Distribution,33.95,5.929537491905257,350522.9945755005,1.183957731981052,35.52894928919472,1039710.0,606781.0,0.0,0.0
AEVA,Aeva Technologies Inc. Common Stock,$1.03,-0.07,-6.364%,230148872.0,United States,2020.0,1689879,Consumer Discretionary,Auto Parts:O.E.M.,5.2,12.084062284355191,11155.485455131531,1.1835443377972332,45.658260686344995,468240.0,545370.0,0.0,0.0
CTMX,CytomX Therapeutics Inc. Common Stock,$2.10,-0.05,-2.326%,142215482.0,United States,2015.0,665437,Health Care,Biotechnology: Pharmaceutical Preparations,2.18,11.845227434603034,3587.629989504814,1.1811594209158227,62.68656809363444,1088310.0,916334.0,0.0,0.0
CELU,Celularity Inc. Class A Common Stock,$5.79,-0.105,-1.781%,126122765.0,United States,2019.0,46067,Health Care,Biotechnology: Pharmaceutical Preparations,5.22,14.655711819968564,7345.49181804657,1.1800766465521155,207.05880257497665,145110.0,140371.0,0.0,0.0
ELUT,Elutia Inc. Class A Common Stock,$2.99,0.17,6.028%,72577547.0,United States,2020.0,13228,Health Care,Medical Specialities,3.39,8.708141997118757,1913.5400137901306,1.1762963047734014,73.84615497476248,21590.0,79556.0,1.0,0.0
WGS,GeneDx Holdings Corp. Class A Common Stock,$10.70,0.505,4.953%,278772996.0,United States,2020.0,221614,Technology,Retail: Computer Software & Peripheral Equipment,8.42,15.46730595723307,5969.699830055237,1.1754386023617995,230.1960875977925,248990.0,352894.0,0.0,0.0
LQDA,Liquidia Corporation Common Stock,$14.73,0.75,5.365%,956057941.0,United States,2018.0,919250,Health Care,Biotechnology: Pharmaceutical Preparations,16.025,5.061384320058582,104305.14786243439,1.1728172939357384,49.719633115244946,1059300.0,557197.0,1.0,1.0
NEXI,NexImmune Inc. Common Stock,$6.09,0.21,3.571%,6443981.0,United States,2021.0,44027,Health Care,Biotechnology: Pharmaceutical Preparations,5.76,11.381235365680698,11733.179683685303,1.169421419209207,154.86726784017137,147330.0,144015.0,1.0,0.0
GENK,GEN Restaurant Group Inc. Class A Common Stock,$6.69,0.41,6.529%,216598925.0,United States,2023.0,49672,Consumer Discretionary,Restaurants,9.25,8.312904710562607,2649.099864959717,1.1677502568812903,36.02940794918374,176740.0,166092.0,1.0,1.0
SKGRW,SK Growth Opportunities Corporation Warrant,$0.42,-0.0723,-14.686%,0.0,United States,2022.0,8459,Finance,Blank Checks,0.46,13.814854942857613,0.14000000059604645,1.1666666977107532,820.0000029802321,10310.0,1620.0,0.0,1.0
CSPI,CSP Inc. Common Stock,$41.30,1.01,2.507%,200592035.0,United States,1982.0,105488,Technology,EDP Services,41.05,17.619224118577126,27556.927780914306,1.1631028682121722,104.33050734333963,90383.0,87527.0,0.0,0.0
STIM,Neuronetics Inc. Common Stock,$4.22,-0.09,-2.088%,125570544.0,United States,2018.0,104425,Health Care,Medical/Dental Instruments,4.27,10.481221455019396,5671.250015497208,1.1594684453801647,61.132068953169735,222740.0,114303.0,0.0,0.0
OPTN,OptiNose Inc. Common Stock,$1.93,0.035,1.847%,217417858.0,United States,2017.0,504346,Health Care,Biotechnology: Pharmaceutical Preparations,1.72,9.523366859686488,3730.759961605072,1.1583332753843754,50.87719738538471,1304510.0,1466972.0,0.0,0.0
ICU,SeaStar Medical Holding Corporation Common Stock,$0.89,-0.12,-11.881%,32911954.0,United States,2021.0,5060163,Health Care,Biotechnology: Pharmaceutical Preparations,0.85,18.79057540951421,46398.47496896982,1.1555916017149908,85.18519384235961,4337470.0,1999622.0,1.0,0.0
ATXS,Astria Therapeutics Inc. Common Stock,$15.00,0.52,3.591%,823545915.0,United States,2015.0,569496,Health Care,Biotechnology: Pharmaceutical Preparations,16.69,8.311646927620341,100628.16129684448,1.1532467966760114,175.86776872531578,1492190.0,1814547.0,0.0,1.0
NCMI,National CineMedia Inc. Common Stock,$4.08,0.21,5.426%,394882645.0,United States,2007.0,187967,Consumer Discretionary,Advertising,5.06,5.318702050769275,13124.199347496033,1.1530053801170506,31.428573197911575,1182880.0,8340853.0,0.0,1.0
ANNX,Annexon Inc. Common Stock,$5.77,1.18,25.708%,307188943.0,United States,2020.0,4709440,Health Care,Biotechnology: Pharmaceutical Preparations,6.08,11.918552093171431,26628.798858642578,1.1528497228507475,111.11110007321436,2575880.0,1568415.0,0.0,1.0
AEYE,AudioEye Inc. Common Stock,$8.63,0.04,0.466%,100931069.0,United States,,92433,Technology,EDP Services,9.49,9.24935933868376,1985.0100145339966,1.1526548805602035,131.4634144355824,140600.0,64151.0,0.0,1.0
VGAS,Verde Clean Fuels Inc. Class A Common Stock,$4.06,-0.10,-2.404%,129464614.0,United States,2021.0,8624,Industrials,Major Chemicals,3.59,14.081694167353763,469.6399791240692,1.151219487800121,59.55555174085829,30010.0,17575.0,1.0,0.0
PRPL,Purple Innovation Inc. Common Stock,$1.66,-0.38,-18.627%,175546472.0,United States,2015.0,3237567,Consumer Discretionary,Home Furnishings,1.53,12.80223468583841,6756.587947368622,1.1503355541463791,42.325572420804555,1247490.0,659211.0,0.0,0.0
AWH,Aspira Women's Health Inc. Common Stock,$3.67,0.01,0.273%,37936181.0,United States,,16821,Health Care,Biotechnology: In Vitro & In Vivo Diagnostic Substances,3.55,8.491497551781247,5594.400072097778,1.1502591134423426,35.4961873045559,24850.0,80811.0,1.0,0.0
HOOK,HOOKIPA Pharma Inc. Common Stock,$0.7415,0.0065,0.884%,62249004.0,United States,2019.0,435864,Health Care,Biotechnology: Pharmaceutical Preparations,0.7353,8.450921955874291,4517.345145761967,1.148531996267658,30.088498656047125,448070.0,478769.0,0.0,0.0
BBLGW,Bone Biologics Corp Warrants,$20.64,0.00,0.00%,11026672.0,United States,,1657,Health Care,Industrial Specialties,21.0,13.84209271222514,51.57000017166138,1.1482966496789042,757.142840460508,1250.0,93.0,0.0,1.0
SRZN,Surrozen Inc. Common Stock,$13.28,-0.1199,-0.895%,27069102.0,United States,,7055,Health Care, Medicinal Chemicals and Botanical Products ,13.19,6.532210837058283,1157.6100053787231,1.14825173827149,65.28821489795834,5680.0,7075.0,0.0,1.0
MEDS,TRxADE HEALTH Inc. Common Stock,$25.94,-7.96,-23.481%,31257908.0,United States,,247540,Health Care,Other Pharmaceuticals,20.68,25.430678339901426,592.7600288391113,1.1474255122865686,293.90476771763394,1201000.0,130492.0,0.0,0.0
GLYC,GlycoMimetics Inc. Common Stock,$2.55,-0.07,-2.672%,164202900.0,United States,2014.0,423641,Health Care,Biotechnology: Pharmaceutical Preparations,2.93,7.825704451953452,11088.479593276978,1.1470587693902454,42.92683584926968,333800.0,431386.0,1.0,1.0
IMNM,Immunome Inc. Common Stock,$23.70,-0.64,-2.629%,1012697374.0,United States,2020.0,332534,Health Care, Medicinal Chemicals and Botanical Products ,24.08,8.454450808294279,99737.44756889343,1.146520150614872,191.87878695401278,563620.0,618153.0,0.0,0.0
CRBP,Corbus Pharmaceuticals Holdings Inc. Common Stock,$47.08,2.50,5.608%,208266996.0,United States,,477998,Health Care,Biotechnology: Pharmaceutical Preparations,42.76,14.183128084160646,7827.999901771545,1.1463046415457636,722.307690191551,472990.0,134481.0,0.0,0.0
CDLX,Cardlytics Inc. Common Stock,$8.60,-0.05,-0.578%,337585656.0,United States,2018.0,544316,Technology,Computer Software: Programming Data Processing,14.1,9.299624623768521,44219.99936103821,1.1458332712451642,65.29895454707568,3107250.0,3028991.0,0.0,1.0
MNPR,Monopar Therapeutics Inc. Common Stock,$0.7521,-0.0739,-8.947%,11181019.0,United States,2019.0,304793,Health Care,Biotechnology: Pharmaceutical Preparations,0.7614,26.274506113358775,286.74000173807144,1.1456311288261867,86.51960583798288,389220.0,946853.0,0.0,0.0
GLSI,Greenwich LifeSciences Inc. Common Stock,$18.20,-0.93,-4.861%,233836603.0,United States,2020.0,67976,Health Care,Biotechnology: Pharmaceutical Preparations,16.95,12.227423267975146,695.3999710083008,1.1437499523162842,59.60452867789399,83970.0,31919.0,0.0,0.0
PWFL,PowerFleet Inc. Common Stock,$3.56,0.40,12.658%,132475802.0,United States,,1490084,Telecommunications,Telecommunications Equipment,4.08,6.08887721106397,7628.909955501556,1.1433566786256653,59.37500058207662,857680.0,998618.0,0.0,1.0
NOTV,Inotiv Inc. Common Stock,$8.28,-0.11,-1.311%,213546830.0,United States,,410943,Health Care,Biotechnology: Commercial Physical & Biological Resarch,9.04,11.983630530683499,4098.270129203796,1.1415094459864594,154.64788966981982,479320.0,448060.0,0.0,0.0
CCCC,C4 Therapeutics Inc. Common Stock,$10.73,-0.03,-0.279%,736085178.0,United States,2020.0,2166717,Health Care,Biotechnology: Pharmaceutical Preparations,8.69,10.501002033069495,184856.69381427765,1.1399999618530274,99.77010967583733,3526090.0,2173549.0,0.0,0.0
VINC,Vincerx Pharma Inc. Common Stock,$6.67,0.22,3.411%,142608402.0,United States,2020.0,355796,Health Care,Biotechnology: Pharmaceutical Preparations,6.3,22.104608017478178,1299.4999730587006,1.138613848531495,872.2222487949375,966440.0,819183.0,0.0,0.0
DIBS,1stdibs.com Inc. Common Stock,$6.06,0.65,12.015%,240859615.0,United States,2021.0,160762,Consumer Discretionary,Catalog/Specialty Distribution,5.95,7.671113216735526,3712.559829711914,1.137970241883112,32.51670629335873,123720.0,133527.0,0.0,0.0
CADL,Candel Therapeutics Inc. Common Stock,$1.57,-0.04,-2.484%,45404102.0,United States,2021.0,16151,Health Care,Biotechnology: Pharmaceutical Preparations,1.5,7.759012528322917,106.92000424861908,1.1379311124436517,33.92857085837394,58620.0,28919.0,1.0,0.0
ARQ,Arq Inc. Common Stock,$5.09,1.62,46.686%,168890817.0,United States,,2038144,Industrials,Major Chemicals,6.14,9.797382385248167,6041.759868621826,1.1370369922313515,138.91050684729828,402840.0,429941.0,0.0,1.0
