Symbol,Name,Last Sale,Net Change,% Change,Market Cap,Country,IPO Year,Volume,Sector,Industry,currentPrice,adr_pct_20_days,volume_dollars_1day,price_growth_one_month,move_higher_3_months_percent,avg_volume_10_days,volume_cal
JANX,Janux Therapeutics Inc. Common Stock,$39.92,1.09,2.807%,2062269595.0,United States,2021.0,308679,Health Care,Biotechnology: Pharmaceutical Preparations,38.81,17.54824063331546,11618.0,1.1874197747492259,267.92715816007285,542560.0,194711.0
KRYS,Krystal Biotech Inc. Common Stock,$179.35,0.40,0.224%,5074280680.0,United States,2017.0,464865,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),168.53,6.877355880943048,251781.6131591797,1.1864235040732265,44.41366343706249,588510.0,94199.0
SSNT,SilverSun Technologies Inc. Common Stock,$14.42,0.35,2.488%,76650678.0,United States,,94229,Technology,EDP Services,14.56,8.748903268347807,22118.189638137817,1.1835871516345429,45.198329417428425,77900.0,16451.0
ELUT,Elutia Inc. Class A Common Stock,$2.99,0.17,6.028%,72577547.0,United States,2020.0,13228,Health Care,Medical Specialities,3.39,8.708738755280754,1368.570003271103,1.182222225047924,78.03030613186088,14370.0,4598.0
CCCC,C4 Therapeutics Inc. Common Stock,$10.73,-0.03,-0.279%,736085178.0,United States,2020.0,2166717,Health Care,Biotechnology: Pharmaceutical Preparations,8.19,10.481689536653803,249396.0835609436,1.181999969482422,93.39206622785045,3527990.0,1093477.0
CTMX,CytomX Therapeutics Inc. Common Stock,$2.10,-0.05,-2.326%,142215482.0,United States,2015.0,665437,Health Care,Biotechnology: Pharmaceutical Preparations,2.02,11.726288455309097,4086.4099880456924,1.1811594209158227,55.24822291495127,1236160.0,460830.0
AXTI,AXT Inc Common Stock,$4.73,0.23,5.111%,206437600.0,United States,1998.0,758813,Technology,Semiconductors,4.85,14.111357094320255,1258.75004529953,1.177777820163303,95.16129497434788,980070.0,317450.0
PWFL,PowerFleet Inc. Common Stock,$3.56,0.40,12.658%,132475802.0,United States,,1490084,Telecommunications,Telecommunications Equipment,3.92,5.970767398593635,6027.83981180191,1.1748251812377242,61.89515466155425,767490.0,429174.0
CLSD,Clearside Biomedical Inc. Common Stock,$1.63,-0.01,-0.61%,101726452.0,United States,2016.0,849994,Health Care,Biotechnology: Pharmaceutical Preparations,1.56,12.273602997239808,4486.619867324829,1.172727212630029,57.48792732356478,1104620.0,185557.0
AEON,AEON Biopharma Inc. Class A Common Stock,$12.69,0.29,2.339%,471555324.0,United States,,123978,Health Care,Biotechnology: Pharmaceutical Preparations,16.29,11.528985934739055,2366.9999599456787,1.1723625325593692,145.84745559292395,132500.0,102012.0
ICU,SeaStar Medical Holding Corporation Common Stock,$0.89,-0.12,-11.881%,32911954.0,United States,2021.0,5060163,Health Care,Biotechnology: Pharmaceutical Preparations,0.818,18.65567346829775,48286.37875914574,1.1719298091511534,89.93134349753913,4393870.0,1017947.0
AEVA,Aeva Technologies Inc. Common Stock,$1.03,-0.07,-6.364%,230148872.0,United States,2020.0,1689879,Consumer Discretionary,Auto Parts:O.E.M.,1.01,12.081463738262466,10803.618042869568,1.1712658414808605,43.806478647658416,439742.0,278170.0
DSP,Viant Technology Inc. Class A Common Stock,$10.66,-0.26,-2.381%,669754912.0,United States,2021.0,120368,Technology,EDP Services,10.04,7.711002799561939,17082.040699005127,1.1677105650855517,41.9377596005629,242420.0,96914.0
NXGL,NexGel Inc Common Stock,$2.82,-0.04,-1.399%,16123714.0,United States,2021.0,69093,Health Care,Medical/Dental Instruments,2.78,9.801703832037866,66.975998878479,1.166829275894846,30.013833554366087,51000.0,2333.0
SKGRW,SK Growth Opportunities Corporation Warrant,$0.42,-0.0723,-14.686%,0.0,United States,2022.0,8459,Finance,Blank Checks,0.43,13.810900734652654,21.630000092089176,1.1666666977107532,921.7391258573938,21170.0,1000.0
TCRX,TScan Therapeutics Inc. Common Stock,$6.71,-0.05,-0.74%,321289535.0,United States,2021.0,75479,Health Care,Biotechnology: Pharmaceutical Preparations,6.83,8.218890884452934,3465.769914150238,1.1616379356855588,43.87755211270484,116380.0,46275.0
LQDA,Liquidia Corporation Common Stock,$14.73,0.75,5.365%,956057941.0,United States,2018.0,919250,Health Care,Biotechnology: Pharmaceutical Preparations,15.56,5.035206334095199,135783.2636165619,1.160216088357456,103.92902946593814,1050250.0,287790.0
AWH,Aspira Women's Health Inc. Common Stock,$3.67,0.01,0.273%,37936181.0,United States,,16821,Health Care,Biotechnology: In Vitro & In Vivo Diagnostic Substances,3.65,8.406530104277522,2109.580018043518,1.1554404557920985,34.600753148847524,19020.0,63688.0
CRVO,CervoMed Inc. Common Stock,$16.99,-0.58,-3.301%,96410095.0,United States,,7957,Health Care,Biotechnology: Pharmaceutical Preparations,21.99,12.949055413114019,771.9000158309937,1.1538461174394248,217.102077089507,19960.0,16314.0
